index,berita
0,billionaire warren buffett say expect blow trade war develop united states china country benefit trade analyst list hard line demand trump administration hand china week difficult resolve trade conflict world large economy separate issue buffett say wells fargo clean act misconduct bank recent year berkshire hathaway own percent wells fargo stock buffett say saturday plan sell buffett say wells fargo big mistake wrong incentive place employee make stride
1,president trump say wednesday meeting european commission president jean claude juncker agree work lower trade barrier westwood one report president say include steel aluminum tariff president trump say united states european union agree work tariff subsidy non automobile good trump say eu agree buy lot soybean increase import liquefy natural gas us trump say eu massive buyer lng help diversify energy supply president eu chief executive statement joint event today follow meeting trade
2,ongoing trade spit us china big threat market federal reserve monetary policy strategist art hogan say wednesday
3,come day us impose worth tariff good import beijing administration say new levy response china decision retaliate round united states tariff announce propose tariff usa trade representative robert lighthizer say year trump administration urge china stop unfair practice open market engage true market competitionbut china diversify economy way vulnerable usa pressure wasif trump want china sure nafta
4,us solar action damage china trade interest affect seriousness authority wto rule say commerce ministry statement chinese executive speak condition anonymity tell reuters us solar tariff sideshow little effect chinese business qatar rescue turkey billionadministration official say usa meeting schedule turkish official discuss brunson case order protect trade interest china deem necessary resort wto dispute settlement mechanismsolar piece big trade chessboard say chinese solar executive decline name
5,trade war fallout way trump tariff impact air trade war tend casualty winner march president trump pledge impose percent tariff steel import percent tariff aluminum import canada mexico european union china hint tariff slap american good coal crude oil natural gas medical equipmentstart follow threat mean air cargo marketshere scenario air cargo world think play come week months12 reader post
6,trade war good easy win us president write twitter early march announce increase steel aluminum import tariff monday china raise tariff pork apple us product balance steel aluminum tariff president argue trade deficit china unsustainable year close 375bn mean product buy china united states exportingexport china support new us job explain medium expert worry united states clear china want
7,agree today work tariff non tariff barrier subsidy non auto industrial good go onwe know academic seminar senior european union official meeting tell wall street journal german chancellor angela merkel economy minister peter altmaier tweet breakthrough achieve avoid trade war save million jobseuropean union nations open united states time benefit tariff non tariff barrier juncker trump agree reduce barrier increase trade service chemical pharmaceutical medical product
8,surprise stock carmaker head concern plunge sale us impose cent tariff import vehicle auto part top global carmaker market cap shed january PRON share fall cent follow china great wall byd cent expert believe president trump decision making tilt auto worker measure roil us automaker accord nomura general motors fiat chrysler hit PRON operating profit cut cent cent
9,new delhi trump administration share list trade issue india week side seek iron difference bilateral trade arise tit tat tariff action month agree new round talk country washington official said“all issue discuss talk general thing want specific country fix target reduce trade deficit track approach decide trade issue side discuss issue oil context iran official say week delegation us meet external affair ministry official discuss us demand india oil import iran
10,wei jingsheng article suggest trade war xi ally crook fight ie lead british medium foreign medium speculate wang qishan famous firefighting captain stay trade war disappear rumour united states intend invite wang qishan replace liu negotiate united states reuters statement violate fact wang qishan loyal emperor xi jinping time wang qishan talk american politician businessman hop know americans card
